listingId,street,city,state,zip,price,propertyType,bedrooms,bathrooms,squareFeet,description,features,photos,status,listingDate,agentName,agentBrokerage
TX-123456,123 Elm St,Austin,TX,78701,500000,Single Family Home,4,3.0,2500,"Beautiful updated home in downtown Austin with a modern kitchen and spacious backyard.","[Modern Kitchen;Spacious Backyard;Swimming Pool]","[https://images.unsplash.com/photo-1512917774080-9991f1c4c750]",Active,2024-03-01T00:00:00Z,Jane Smith,ABC Realty
TX-123457,456 Oak Ave,Austin,TX,78702,750000,Single Family Home,5,4.5,3200,"Stunning modern home with high-end finishes and downtown views.","[Smart Home;Gourmet Kitchen;City Views]","[https://images.unsplash.com/photo-1600596542815-ffad4c1539a9]",Active,2024-03-01T00:00:00Z,John Doe,XYZ Properties
TX-123458,789 Pine Ln,Austin,TX,78703,1200000,Luxury Home,6,5.5,4500,"Luxurious estate with resort-style pool and guest house.","[Guest House;Resort Pool;Wine Cellar]","[https://images.unsplash.com/photo-1600607687939-ce8a6c25118c]",Active,2024-03-01T00:00:00Z,Sarah Johnson,Premier Estates
TX-123459,321 Cedar Rd,Austin,TX,78704,425000,Condo,2,2.0,1200,"Modern condo in the heart of South Congress.","[Rooftop Deck;Concierge;Fitness Center]","[https://images.unsplash.com/photo-1600607687644-c7171b42498f]",Active,2024-03-01T00:00:00Z,Mike Wilson,Urban Living
TX-123460,654 Maple Dr,Austin,TX,78705,850000,Single Family Home,4,3.5,3000,"Charming historic home with modern updates.","[Historic Details;Updated Kitchen;Garden]","[https://images.unsplash.com/photo-1600607687920-4e2a09cf159d]",Active,2024-03-01T00:00:00Z,Lisa Brown,Heritage Homes
TX-123461,987 Birch St,Austin,TX,78701,950000,Townhouse,3,3.5,2800,"Luxury townhome with downtown access.","[Private Elevator;Roof Terrace;Smart Home]","[https://images.unsplash.com/photo-1600607687166-c3e9f6c599d0]",Active,2024-03-01T00:00:00Z,Tom Anderson,City Properties
TX-123462,147 Willow Way,Austin,TX,78702,675000,Single Family Home,4,3.0,2600,"Modern farmhouse with designer touches.","[Open Concept;Custom Cabinetry;Large Yard]","[https://images.unsplash.com/photo-1600607687710-040c6c2c4b4f]",Active,2024-03-01T00:00:00Z,Emily Davis,Farmhouse Realty
TX-123463,258 Aspen Ct,Austin,TX,78703,1500000,Luxury Home,5,5.5,5000,"Mediterranean villa with pool and outdoor kitchen.","[Outdoor Kitchen;Pool;Home Theater]","[https://images.unsplash.com/photo-1600607687644-c7171b42498f]",Active,2024-03-01T00:00:00Z,David Martinez,Luxury Estates
TX-123464,369 Spruce Pl,Austin,TX,78704,550000,Townhouse,3,2.5,1800,"Modern townhome in vibrant SoCo district.","[Walkable Location;Balcony;Updated Appliances]","[https://images.unsplash.com/photo-1600607687939-ce8a6c25118c]",Active,2024-03-01T00:00:00Z,Rachel White,SoCo Realty
TX-123465,741 Redwood Ln,Austin,TX,78705,925000,Single Family Home,4,4.0,3500,"Contemporary masterpiece with downtown views.","[Floor-to-Ceiling Windows;Chef's Kitchen;Media Room]","[https://images.unsplash.com/photo-1600607687920-4e2a09cf159d]",Active,2024-03-01T00:00:00Z,Chris Taylor,Modern Homes 
